,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Rell,렐,http://39.118.174.168:8000/champ_image/right/렐.png,http://39.118.174.168:8000/champ_image/left/렐.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Rell.png,http://39.118.174.168:8000/champ_image/long_image_noColor/렐.jpg,Rell.mp3
Rengar,렝가,http://39.118.174.168:8000/champ_image/right/렝가.png,http://39.118.174.168:8000/champ_image/left/렝가.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Rengar.png,http://39.118.174.168:8000/champ_image/long_image_noColor/렝가.jpg,Rengar.mp3
Lucian,루시안,http://39.118.174.168:8000/champ_image/right/루시안.png,http://39.118.174.168:8000/champ_image/left/루시안.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Lucian.png,http://39.118.174.168:8000/champ_image/long_image_noColor/루시안.jpg,Lucian.mp3
Lulu,룰루,http://39.118.174.168:8000/champ_image/right/룰루.png,http://39.118.174.168:8000/champ_image/left/룰루.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Lulu.png,http://39.118.174.168:8000/champ_image/long_image_noColor/룰루.jpg,Lulu.mp3
Leblanc,르블랑,http://39.118.174.168:8000/champ_image/right/르블랑.png,http://39.118.174.168:8000/champ_image/left/르블랑.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Leblanc.png,http://39.118.174.168:8000/champ_image/long_image_noColor/르블랑.jpg,Leblanc.mp3
LeeSin,리 신,http://39.118.174.168:8000/champ_image/right/리 신.png,http://39.118.174.168:8000/champ_image/left/리 신.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/LeeSin.png,http://39.118.174.168:8000/champ_image/long_image_noColor/리 신.jpg,LeeSin.mp3
Riven,리븐,http://39.118.174.168:8000/champ_image/right/리븐.png,http://39.118.174.168:8000/champ_image/left/리븐.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Riven.png,http://39.118.174.168:8000/champ_image/long_image_noColor/리븐.jpg,Riven.mp3
Lissandra,리산드라,http://39.118.174.168:8000/champ_image/right/리산드라.png,http://39.118.174.168:8000/champ_image/left/리산드라.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Lissandra.png,http://39.118.174.168:8000/champ_image/long_image_noColor/리산드라.jpg,Lissandra.mp3
Lillia,릴리아,http://39.118.174.168:8000/champ_image/right/릴리아.png,http://39.118.174.168:8000/champ_image/left/릴리아.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Lillia.png,http://39.118.174.168:8000/champ_image/long_image_noColor/릴리아.jpg,Lillia.mp3
MasterYi,마스터 이,http://39.118.174.168:8000/champ_image/right/마스터 이.png,http://39.118.174.168:8000/champ_image/left/마스터 이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/MasterYi.png,http://39.118.174.168:8000/champ_image/long_image_noColor/마스터 이.jpg,MasterYi.mp3
